BedsiteID,Type,Birth_Year,Habitat,Elevation,Slope,Ruggedness,Distance_Water,Canopy_Cover,50cm_Cover,100cm_Cover,150cm_Cover,Bare_ground,Grass,Crop,Forbes,Shrub,Litter
15,0,2021,Shrubs,697.5344849,37.92238235,14.30605602,37.70367854,0,50,6.25,5,2.5,32.5,0,15,42.5,7.5
15,0,2021,Shrubs,683.5084229,10.89596844,4.842596531,32.30924837,7,97.5,38.75,15,35,2.5,0,12.5,50,0
16,1,2021,Grassland,491.3320007,22.62048149,10.50535774,681.7798988,0,47.5,3.75,2.5,5,60,0,35,0,0
16,0,2021,Grassland,508.5378418,14.00463104,7.051686287,647.9277522,0,92.5,11.25,0,22.5,22.5,0,22.5,0,32.5
16,0,2021,Grassland,475.9382324,24.37079048,8.315179825,714.8751605,0,61.25,1.25,0,15,0,0,40,0,45
17,1,2021,Grassland,438.509613,25.2018013,12.74276638,6.500275181,0,92.5,47.5,8.75,0,7.5,0,27.5,0,65
17,0,2021,Cropland,455.027832,18.26411438,8.676756859,42.24369967,0,82.5,52.5,0,0,50,50,0,0,0
17,0,2021,Grassland,444.245575,24.18089104,10.34029388,36.36411894,0,31.25,0,0,60,15,0,0,0,25
18,1,2021,Grassland,438.509613,25.2018013,12.74276638,9.784866442,0,92.5,47.5,8.75,0,7.5,0,27.5,0,65
18,0,2021,Grassland,444.245575,24.18089104,10.34029388,38.62124545,0,5.25,0,0,90,0,0,0,0,10
18,0,2021,Grassland,446.173584,17.66179085,10.54246426,30.60003776,0,7.5,0,0,35,30,0,0,0,35
19,1,2021,Grassland,256.8962097,12.28385067,4.06223917,68.43249078,1.82,57.5,7.5,0,0,98.5,0,0.5,0,1
19,0,2021,Cropland,270.829895,9.098763466,3.422076225,107.0135007,0,9,0,0,3.5,0,0,0.5,0,94
19,0,2021,Cropland,256.7947998,13.04909992,5.669118881,66.14170509,0,22.5,0,0,1,0,0,3.5,0,95.5
20,1,2021,Cropland,759.3217163,9.907347679,5.484591484,52.23879224,0,100,60,0,42.5,0,57.5,0,0,0
20,0,2021,Grassland,750.1986694,8.326581001,4.368249893,30.65825105,0,52.5,0.5,0,0,30,0,55,0,15
20,0,2021,Cropland,772.8108521,9.770226479,6.259833336,96.25516537,0,80,0,0,25,0,55,0,0,20
21,1,2021,Shrubs,702.3425903,28.43890572,11.47672272,0.123596203,1.04,100,57.5,30,22.5,22.5,0,10,45,0
21,0,2021,Grassland,695.7391968,28.20343399,14.16133404,47.99506929,0,62.5,1.25,0,0,70,0,15,0,15
21,0,2021,Shrubs,702.6711426,20.77447891,9.157686234,25.63806003,0,81.25,26.75,2.25,0,15,0,0,85,0
22,1,2021,Shrubs,182.9324493,2.859293938,1.131731391,511.9869437,0,76.25,6.25,0,87.5,2.5,0,0,0,6
22,0,2021,Shrubs,182.8988342,1.389327049,0.806586683,546.9360715,0,7.5,0,0,87.5,2.5,0,5,0,5
22,0,2021,Shrubs,181.7412109,4.304450035,1.422973871,549.0705046,0,22.5,0,0,12.5,27.5,0,0,15,45
23,1,2021,Shrubs,571.9642944,25.48752403,11.7354002,579.5548359,0.78,83.75,50,5.5,0,47.5,0,12.5,40,0
23,0,2021,Grassland,584.5175781,13.47991276,6.051100254,577.360663,0,31.25,0,0,15,77.5,0,7.5,0,0
23,0,2021,Grassland,573.9859009,31.09915543,13.56660557,568.2745977,0,28.75,0,0,5,60,0,35,0,0
24,1,2021,CRP,606.2752075,2.121940613,0.799998164,649.4604746,7.54,0,0,0,100,0,0,0,0,0
24,0,2021,CRP,607.6938477,0.115351558,0.157990083,643.8350481,2.25,17.5,0.5,0,15,55,0,15,0,15
24,0,2021,CRP,605.8518677,2.509584427,1.099642396,604.7959536,0.25,40,0.25,0,9.5,85,0,1,0,4.5
25,1,2021,CRP,605.9672241,2.296713352,0.711591303,644.6472471,9.1,51.25,1.5,0,2.5,65,0,0,0,32.5
25,0,2021,CRP,604.4234619,4.412189007,1.400232792,671.743689,4.25,67.5,0,0,7.5,70,0,0,0,17.5
25,0,2021,CRP,607.7178345,0.110603146,0.078943707,630.4925266,3,77.5,0,0,2.5,80,0,0,0,17.5
26,1,2021,Shrubs,785.3109131,16.84602547,10.16893768,2.960654006,3.64,96.25,81.25,70.5,0,5,0,5,90,0
26,0,2021,Cropland,790.8959351,20.82238579,8.646350861,21.72162892,0,0,0,0,92.5,0,7.5,0,0,0
26,0,2021,Grassland,778.291748,16.61709976,7.371486664,39.88148827,0,75,22.5,0,10,25,0,30,0,35
27,1,2021,Grassland,748.1757202,25.6549263,11.98326588,13.24833724,67.08,68.75,70,70,40,60,0,0,0,0
27,0,2021,Grassland,733.2645874,4.802647114,3.986155987,16.65445126,0,87.5,17.5,0,42.5,12.5,2.5,35,0,7.5
27,0,2021,Grassland,758.9533081,18.40979195,8.598144531,40.10126892,0,82.5,12.5,0,10,25,0,20,0,45
28,1,2022,Cropland,622.4350586,13.17609406,5.200348854,335.79735,0,91.25,0,0,0,0,100,0,0,0
28,0,2022,Cropland,613.3417969,6.912182808,3.440854073,300.1354855,0,100,11.25,0,0.5,0,99.5,0,0,0
28,0,2022,Cropland,632.5270386,8.123226166,2.950047493,372.4305496,0,100,33.75,0,0,0,100,0,0,0
29,1,2022,Cropland,870.7609863,2.89196682,1.108557463,275.3008262,0,70,0,0,0,0,72.5,0,0,27.5
29,0,2022,Cropland,871.1122437,2.638042212,1.149818063,282.2342147,0,88.75,0,0,0,0,85,0,0,15
29,0,2022,Cropland,868.7390137,3.606047392,1.157325387,222.1622664,0,77.5,0,0,0,0,80,0,0,20
30,1,2022,Grassland,540.0435181,22.26762581,9.152130127,220.4154742,0,87.5,2.5,0,0,38,0,52.5,0,17.5
30,0,2022,Grassland,565.7285767,23.34923935,8.828145027,268.9187748,66.5,93.75,18.5,0,1,70,0,80,0,0
30,0,2022,Grassland,527.0908203,26.15996742,9.43607235,174.1554909,0,32.5,12.5,1.25,1,80,0,0.5,0,12.5
31,1,2022,Grassland,541.90448,19.18919754,8.566835403,220.6914381,0,100,62.5,3.75,0,90,0,27.5,0,10
31,0,2022,Grassland,531.3178711,14.05510807,5.462013721,200.2501846,0,75,0,0,1,50,0,75,0,0
31,0,2022,Grassland,536.4898071,22.10119438,7.744069099,203.5616384,0,56.66666667,0,0,0,87.5,0,27.5,0,2.5
32,1,2022,Forest,596.3365479,12.31466103,4.314433575,59.10116032,57.75,32.5,5.25,7.5,0,10,0,65,0,25
32,0,2022,Forest,597.5772095,15.25928974,4.820668221,38.49990901,44.5,38.75,1.75,1.25,0,22.5,0,22.5,0,55
32,0,2022,Forest,591.1359253,18.16914368,8.607158661,52.83414918,76.25,32.5,7.5,5.5,0,12.5,0,22.5,0,65
33,1,2022,Shrubs,621.1682129,33.41252899,16.352108,535.9714267,1.75,98.75,86.25,36.25,7.5,20,0,22.5,40,10
33,0,2022,Shrubs,630.2793579,37.33027267,19.80475235,560.1168243,0,76.25,55,17.5,0,45,0,30,40,5
33,0,2022,Shrubs,602.5505371,26.74251366,11.14550781,479.4445913,3.25,95,77.5,38.75,0,0,0,7.5,87.5,5
34,1,2022,Grassland,420.6817627,7.283605576,2.450237036,179.4052359,0,25,7.5,0.25,0,45,0,25,0,30
34,0,2022,Grassland,414.3930359,11.23143578,4.70418787,198.1115347,0,85,52.5,8,0,70,0,0,0,30
34,0,2022,Grassland,425.7513428,2.494112492,0.908027351,151.5943072,0,22.5,1.25,0,32.5,55,0,2.5,0,10
35,1,2022,Grassland,448.8010864,12.32263851,6.488449574,17.46822683,23,98.75,95,68.25,0,55,0,27.5,20,2.5
35,0,2022,Grassland,447.2165833,18.43834877,6.19273138,26.04636927,0,100,80,51.25,0,70,0,57.5,0,0
35,0,2022,Grassland,458.4473572,31.17918777,12.82976723,8.362696581,0,97.5,27.5,12.5,2,65,0,27.5,0,0
36,1,2022,Grassland,718.0682373,21.23064232,7.02564764,101.3247282,0,32.5,1.25,0,17.5,72.5,0,5,0,0
36,0,2022,Grassland,722.4169922,19.6671772,9.094810486,128.2051365,0,88.75,2.5,0,0,35,0,10,0,55
36,0,2022,Grassland,702.8329468,25.84231758,8.728487968,73.6106706,0,72.5,1.25,0,0,75,0,10,0,15
37,1,2022,Cropland,561.1880493,18.60636711,10.00779724,52.96993886,0,100,31.25,0,2.5,0,97.5,0,0,0
37,0,2022,Cropland,556.7003784,6.99804163,2.607581615,27.44025034,0,100,26.25,0,5,7.5,87.5,0,0,0
37,0,2022,Grassland,576.1731567,30.5178299,14.89068985,98.36186636,0,46.25,1.25,0,12.5,82.5,0,5,0,0
38,1,2022,Cropland,257.1682129,9.489886284,4.198998451,136.4999447,0,100,70,8.75,0,0,100,0,0,0
38,0,2022,Cropland,257.9164124,19.34392548,8.495573997,139.0700441,0,100,68.75,0.25,55,0,45,0,0,0
38,0,2022,Cropland,253.5853729,13.79326439,6.112773418,177.5410049,0,100,47.5,0,12.5,0,87.5,0,0,0
39,1,2022,Grassland,630.5163574,16.2508831,6.09595108,24.28124614,0,70.75,7.5,0.75,0,57.5,0,25,0,17.5
39,0,2022,Grassland,630.8863525,14.41360664,6.464210987,27.12113021,0,37.5,0,0,5,70,0,17.5,0,7.5
39,0,2022,CRP,640.852417,7.950476646,3.864873409,77.3710104,0,43,0.75,18.75,20,22.5,0,2.5,0,55
40,1,2022,Grassland,703.7081909,8.764408112,4.838411331,92.30606836,0,90,0.75,0,0,87.5,0,10,2.5,0
40,0,2022,Grassland,690.1230469,25.93808365,12.10794735,45.6440303,0,42.5,0,0,15,55,0,12.5,2.5,15
40,0,2022,Grassland,693.2770386,23.86649513,11.01244354,54.66252892,0,47.5,0,0,0,70,0,20,0,10
41,1,2022,Grassland,706.1156006,13.74230862,5.827212811,97.96369783,0,78.75,12.5,0.75,5,35,45,0,0,15
41,0,2022,Grassland,698.7675781,12.50814915,5.878770351,78.21931188,0,43.75,0.5,0,2.5,15,0,37.5,0,45
41,0,2022,Grassland,690.6560669,24.26197624,11.25966454,46.93243383,0,31.25,0,0,30,42.5,0,22.5,0,5
42,1,2022,CRP,393.8006897,0.403657436,0.196039364,11.71602645,0,27.5,0,0,7.5,85,0,0,0,7.5
42,0,2022,CRP,398.4408264,7.489786148,2.516422749,39.93890167,0,23.75,0,0,12.5,62.5,0,2.5,0,22.5
42,0,2022,CRP,394.7142029,4.430857658,1.501817822,25.29301428,0,17.5,0,0,0,57.5,0,2.5,0,40
43,1,2022,Grassland,580.2781982,15.04784584,5.499949455,193.5219503,55,77.5,22.75,4,0,100,0,0,0,0
43,0,2022,Cropland,598.4140625,11.49794674,3.784898043,193.8069438,0,100,75,30,0,0,100,0,0,0
43,0,2022,Grassland,577.6252441,12.36205387,4.161894798,227.9202809,0,85,40.25,12.5,0,100,0,0,0,0
44,1,2022,Grassland,582.1531982,17.34042931,6.66137886,190.7501928,47.25,75,22.5,10,0,90,0,0,0,10
44,0,2022,Grassland,581.3157349,20.45792961,7.086930275,231.4741519,5,100,51.25,7.5,0,99.5,0,0.5,0,0
44,0,2022,Cropland,571.1264038,5.876638889,2.829525471,156.3751075,0,100,57.5,0,0,0,100,0,0,0
45,1,2022,Shrubs,935.0303345,9.07870388,3.68338275,11.6924467,0,73.75,33.75,75,27.5,12.5,0,15,42.5,2.5
45,0,2022,Grassland,942.0896606,11.00741005,4.206833839,28.80983807,0,93.75,1.75,0,0,55,0,7.5,0,37.5
45,0,2022,Grassland,937.8148193,13.82657051,5.201286316,54.63876125,21,73.25,4,2.5,0,27.5,0,0,0,72.5
46,1,2022,Grassland,464.5709534,8.079131126,7.396410465,100.5128014,0,83.75,11.25,0,2.5,15,0,77.5,0,5
46,0,2022,Grassland,484.3867188,21.22442818,7.15375948,122.495595,0,86.25,28.75,0,0,5,0,95,0,0
46,0,2022,CRP,484.4425354,15.560462,5.451745033,121.9009485,0,18,1.75,0,35,25,0,12.5,0,27.5
47,1,2022,Grassland,596.8264771,12.8608923,4.533031464,383.9993131,0,51.25,0,0,17.5,30,0,40,0,12.5
47,0,2022,Grassland,608.1804199,11.11807442,7.085312843,431.9224913,0,75,12.5,0,0,22.5,0,77.5,0,0
47,0,2022,Grassland,592.3956909,25.54390335,9.136330605,357.7665877,0,35,2.5,0,45,32.5,0,7.5,0,15
48,1,2022,Grassland,283.9824524,5.118207932,2.203444242,546.0746546,0,35,18.75,2.5,15,77.5,0,2.5,0,5
48,0,2022,Grassland,286.2538757,2.89864397,1.021723866,537.2680785,0,18.75,1,0,40,45,0,7.5,0,7.5
48,0,2022,Grassland,284.8397217,6.486437798,2.795781136,504.0064196,0,35,1.25,0,27.5,37.5,0,7.5,0,27.5
49,1,2022,Cropland,867.986145,2.890058517,1.283946872,407.539459,0,100,36.25,0,0,0,100,0,0,0
49,0,2022,Cropland,871.9169922,6.34521389,2.133947849,357.2707046,0,100,45,0,0,0,100,0,0,0
49,0,2022,Cropland,861.2561646,6.737616539,2.14941287,437.2339009,0,100,45,0,0,0,100,0,0,0
50,1,2022,Grassland,273.3615112,19.74999619,6.320830345,251.8972727,0,80,33.75,2.5,10,82.5,0,2.5,0,5
50,0,2022,Grassland,263.3222351,9.647892952,4.863798618,221.3782071,0,40,6.25,1.25,30,62.5,0,0,0,7.5
50,0,2022,Grassland,269.0254517,3.784869671,5.05081749,286.6680818,0,28.75,1.25,0,2.5,40,0,10,0,47.5
51,1,2022,Grassland,516.013916,19.30998039,9.248789787,647.8624864,0,90,36.25,3.75,2.5,87.5,0,0,0,10
51,0,2022,Grassland,500.1307068,26.28772354,16.16705894,663.7616397,0,77.5,1.25,0,5,35,0,50,0,10
51,0,2022,Grassland,519.567627,23.51477432,11.099226,694.4292329,0,76.25,33.75,26.25,2.5,35,0,45,0,17.5
